Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Sevilla,8,5,1,2,18,8,10,16
Atletico Madrid,8,4,3,1,9,4,5,15
Real Madrid,8,4,2,2,12,7,5,14
Espanyol,8,4,2,2,11,7,4,14
CD Alaves,8,4,2,2,11,8,3,14
Barcelona,8,3,4,1,19,10,9,13
Real Valladolid,8,3,4,1,8,6,2,13
Real Betis,8,3,3,2,5,6,-1,12
Real Sociedad,8,3,2,3,12,11,1,11
Celta Vigo,8,2,4,2,13,12,1,10
Levante,8,3,1,4,12,14,-2,10
Eibar,8,3,1,4,9,12,-3,10
Getafe,8,2,3,3,6,7,-1,9
Valencia,8,1,6,1,6,7,-1,9
Girona FC,8,2,3,3,10,13,-3,9
Villarreal,8,2,2,4,6,7,-1,8
Athletic Bilbao,7,1,4,2,9,13,-4,7
CD Leganes,8,2,1,5,7,12,-5,7
Rayo Vallecano,7,1,2,4,8,15,-7,5
Huesca SD,8,1,2,5,7,19,-12,5
